sku,qtd,descricao,parceira,atlas,tecnico,data,movimento,sap,id_tecnico,modalidade,responsavel,cat_material,observacao,modelo
241694232435,,4K RFIP,DIGITEC TECNOLOGIA DIGITAL E REPRES,INICIALIZADO,MYCON,23/08/2025 09:45:49,ENTREGA,41001583,108,ADS,IARLEY,EQUIPAMENTO,DIGITEC FTZ,DECODER CARDLESS 4K UHD S4KCW5 CABO IP
229968001535,,,,,MYCON,23/08/2025 09:45:58,DEVOLUCAO,,108,ADS,IARLEY,,DIGITEC FTZ,
743AEFAC54DE,,3.1,DIGITEC TECNOLOGIA DIGITAL E REPRES,SUSPEITO,PEDRO,23/08/2025 10:48:05,DEVOLUCAO,41001486,36,MOTO,IARLEY,EQUIPAMENTO,DIGITEC FTZ,MODEM VOIP EMTA WIFI 3.1 CG3000
9877E77E4FCD,,3.1,DIGITEC TECNOLOGIA DIGITAL E REPRES,INICIALIZADO,PEDRO,23/08/2025 10:48:05,DEVOLUCAO,41001486,36,MOTO,IARLEY,EQUIPAMENTO,DIGITEC FTZ,MODEM VOIP EMTA WIFI 3.1 CG3000
CABO DROP,500,CABO DROP,MISCELANEA,MISCELANEA,WELLINGTON,25/08/2025 07:21:49,ENTREGA,22057657,43,ADS,IARLEY,CRITICO,DIGITEC FTZ,CABO DROP 1FO LOW F FIG8 CINZA
ESTICADOR,20,ESTICADOR,MISCELANEA,MISCELANEA,WELLINGTON,25/08/2025 07:21:55,ENTREGA,22057659,43,ADS,IARLEY,NAO CRITICO,DIGITEC FTZ,ESTICADOR CUNHA P/DROP FO SDA1 DPR
184182068396,,LEGADO,DIGITEC TECNOLOGIA DIGITAL E REPRES,SUSPEITO,DANYEL,25/08/2025 07:38:03,DEVOLUCAO,41001273,94,MOTO,RENATO,EQUIPAMENTO,DIGITEC FTZ,THOMSON HIGH DEFINITION DCI713
226019934755,,CARD,DIGITEC TECNOLOGIA DIGITAL E REPRES,SUSPEITO,DANYEL,25/08/2025 07:38:15,DEVOLUCAO,41001234,94,MOTO,RENATO,EQUIPAMENTO,DIGITEC FTZ,SMART CARD PRETO NAGRA
184182820929,,LEGADO,DIGITEC TECNOLOGIA DIGITAL E REPRES,SUSPEITO,DANYEL,25/08/2025 07:38:36,DEVOLUCAO,41001273,94,MOTO,RENATO,EQUIPAMENTO,DIGITEC FTZ,THOMSON HIGH DEFINITION DCI713
226249101835,,CARD,DIGITEC TECNOLOGIA DIGITAL E REPRES,SUSPEITO,DANYEL,25/08/2025 07:38:39,DEVOLUCAO,41001234,94,MOTO,RENATO,EQUIPAMENTO,DIGITEC FTZ,SMART CARD PRETO NAGRA
743AEFABE2AE,,3.1,DIGITEC TECNOLOGIA DIGITAL E REPRES,INICIALIZADO,DANYEL,25/08/2025 07:39:04,DEVOLUCAO,41001486,94,MOTO,RENATO,EQUIPAMENTO,DIGITEC FTZ,MODEM VOIP EMTA WIFI 3.1 CG3000
1834AF9AE599,,3.1,DIGITEC TECNOLOGIA DIGITAL E REPRES,INICIALIZADO,DANYEL,25/08/2025 07:39:32,DEVOLUCAO,41001486,94,MOTO,MARCELO,EQUIPAMENTO,DIGITEC FTZ,MODEM VOIP EMTA WIFI 3.1 CG3000
CASA 1,10,CASA 1,MISCELANEA,MISCELANEA,EMERSON,25/08/2025 07:39:54,ENTREGA,22056343,90,ADS,IARLEY,NAO CRITICO,DIGITEC FTZ,MARCADOR CASA PTO NR 1
CASA 6,10,CASA 6,MISCELANEA,MISCELANEA,EMERSON,25/08/2025 07:40:06,ENTREGA,22056336,90,ADS,IARLEY,NAO CRITICO,DIGITEC FTZ,MARCADOR CASA PTO NR 6
CASA 0,10,CASA 0,MISCELANEA,MISCELANEA,EMERSON,25/08/2025 07:40:12,ENTREGA,22056342,90,ADS,IARLEY,NAO CRITICO,DIGITEC FTZ,MARCADOR CASA PTO NR 0
177206488608,,LEGADO,DIGITEC TECNOLOGIA DIGITAL E REPRES,SUSPEITO,DANYEL,25/08/2025 07:40:23,DEVOLUCAO,41001216,94,MOTO,RENATO,EQUIPAMENTO,DIGITEC FTZ,PACE - HD DCR 7411 VIRTUA
215469013452,,CARD,DIGITEC TECNOLOGIA DIGITAL E REPRES,SUSPEITO,DANYEL,25/08/2025 07:40:29,DEVOLUCAO,41001186,94,MOTO,RENATO,EQUIPAMENTO,DIGITEC FTZ,NAGRA KIT
203543138BC5,,WIFI 6,DIGITEC TECNOLOGIA DIGITAL E REPRES,SUSPEITO,LEANDRO,25/08/2025 07:41:10,DEVOLUCAO,41001552,76,VT,MARCELO,EQUIPAMENTO,DIGITEC FTZ,TERMINAL DOCSIS 3.1 EMTA WIFI6 F@ST3896
D4925E0920BD,,ONT,DIGITEC TECNOLOGIA DIGITAL E REPRES,SUSPEITO,LEANDRO,25/08/2025 07:41:10,DEVOLUCAO,41001535,76,VT,MARCELO,EQUIPAMENTO,DIGITEC FTZ,TERMINAL GPON WIFI TCG2232
